Artist_and_Track_Name,All_Streams,Position
Kendrick Lamar - BLOOD.,19892773,471
Damso - Ε. Signaler,19885611,472
Michael Bublé - It's Beginning To Look A Lot Like Christmas,19845230,473
Kendrick Lamar - DUCKWORTH.,19835803,474
Farruko - Chillax,19754447,475
Nacho - Báilame,19750179,476
Ninho - Mamacita,19723414,477
Cheat Codes - Feels Great (feat. Fetty Wap & CVBZ),19664641,478
Vice - Obsession (feat. Jon Bellion),19619347,479
Veysel - Kleiner Cabrón,19608344,480
Drake - 4422,19565039,481
Kay One - Louis Louis,19511602,482
Young Thug - Wyclef Jean,19386654,483
Jason Derulo - If I'm Lucky,19370974,484
Drake - Jorja Interlude,19305695,485
Alan Walker - All Falls Down,19244694,486
Trippie Redd - Love Scars,19217723,487
Michael Pangilinan - Hanggang Kailan,19192526,488
MØ - Nights With You,19121250,489
Piso 21 - Besándote,19109129,490
Daddy Yankee - Shaky Shaky,19050812,491
Dame 5 - Piel a Piel,19019212,492
Camila Cabello - Havana - Remix,19014895,493
The Chainsmokers - Break Up Every Night,19011566,494
Rita Ora - Anywhere,18916088,495
Ozuna - El Farsante,18901074,496
Trettmann - Knöcheltief,18759942,497
The Weeknd - Sidewalks,18697199,498
"Farruko - Diles (feat. Arcangel, Nengo Flow, Dj Luian & Mambo Kings)",18646707,499
Future - Rent Money,18449233,500
Moon Taxi - Two High,18446625,501
Joey Montana - Suena El Dembow,18419440,502
Sfera Ebbasta - Tran Tran,18257906,503
"Mike WiLL Made-It - Perfect Pint (feat. Kendrick Lamar, Gucci Mane & Rae Sremmurd)",18127200,504
Daya - New,18001756,505
Ghali - Happy Days,17891252,506
Sabrina Carpenter - Why,17827779,507
Ariana Grande - Santa Tell Me,17822971,508
6ix9ine - GUMMO,17792211,509
Mark Forster - Chöre,17764689,510
Shakira - Perro Fiel,17728880,511
Auli'i Cravalho - How Far I'll Go,17727574,512
Young M.A - OOOUUU,17726724,513
Cro - Unendlichkeit,17711838,514
Lady Gaga - Million Reasons,17655972,515
Fabri Fibra - Pamplona,17650609,516
Martin Solveig - Places,17579015,517
PNL - Bené,17567756,518
Ed Sheeran - Hearts Don't Break Around Here,17548432,519
Lil Yachty - Peek A Boo,17333920,520
Ed Sheeran - Nancy Mulligan,17292078,521
Major Lazer - Light It Up (feat. Nyla & Fuse ODG) - Remix,17251438,522
Bebe Rexha - Bad Bitch (feat. Ty Dolla $ign),17176802,523
Lil Pump - D Rose,17160723,524
ALMA - Chasing Highs,17116691,525
Olvidate! - Amor para un Rato,17088281,526
DVBBS - Not Going Home,17067700,527
Abraham Mateo - Loco Enamorado,17042202,528
Niska - Salé,16958088,529
NEIKED - Sexual,16932114,530
Sia - Never Give Up,16887100,531
Kollegah - Zieh' den Rucksack aus,16742394,532
Ofenbach - Katchi (Ofenbach vs. Nick Waterhouse),16676503,533
Ed Sheeran - Eraser,16673089,534
San Holo - Light,16637536,535
Katy Perry - Bon appétit,16533729,536
"KZ Tandingan - Two Less Lonely People in the World (Official Movie Theme Song Of ""Kita Kita"")",16529405,537
BTS - DNA,16522110,538
Baby K - Voglio ballare con te,16432505,539
Maxwell - Safari,16362354,540
Alle Farben - Bad Ideas,16341061,541
Damso - Γ. Mosaïque solitaire,16311944,542
Romeo Santos - Bella y Sensual,16300325,543
Meek Mill - Litty (feat. Tory Lanez),16273141,544
Band Aid - Do They Know It's Christmas? - 1984 Version,16268460,545
Maluma - Corazón,16233940,546
PNL - Onizuka,16213849,547
A Boogie Wit da Hoodie - My Shit,16209145,548
Bad Bunny - Soy Peor,16200148,549
Mark Forster - Sowieso - Radio Version,16186766,550
"G-Eazy - Me, Myself & I",16126145,551
Frank Sinatra - Let It Snow! Let It Snow! Let It Snow!,16110389,552
Kendrick Lamar - The Heart Part 4,16109431,553
Lil Uzi Vert - X,16028247,554
Yandel - Explícale,16008494,555
Zuna - Wieso?,15974459,556
Capital Bra - Olé Olé,15932865,557
Joey Bada$$ - DEVASTATED,15915189,558
The Chainsmokers - Setting Fires,15913499,559
Ozuna - Tu Foto,15898384,560
Ghali - Habibi,15895472,561
John Lennon - Happy Xmas (War Is Over) - 2010 Digital Remaster,15872100,562
Lartiste - Chocolat (feat. Awa),15820490,563
Lukas Graham - 7 Years,15813142,564
Lil Uzi Vert - The Way Life Goes (feat. Nicki Minaj & Oh Wonder) - Remix,15802670,565
KC Rebell - Nicht jetzt,15725789,566
The Weeknd - The Hills,15706394,567
Dimitri Vegas & Like Mike - Complicated (feat. Kiiara),15609867,568
Logic - Black SpiderMan,15601730,569
FRENSHIP - Capsize,15599502,570
Sigala - Came Here for Love,15543031,571
Jon Pardi - Dirt On My Boots,15525281,572
J Balvin - Si Tu Novio Te Deja Sola,15521136,573
Burl Ives - A Holly Jolly Christmas - Single Version,15484298,574
187 Strassenbande - Mit den Jungz,15435594,575
Karol G - Ahora Me Llama,15362786,576
Nimo - LFR,15312016,577
Farruko - Krippy Kush,15257530,578
Jake La Furia - El Party,15222957,579
Cash Cash - All My Love (feat. Conor Maynard),15107443,580
Ozuna - Tú Foto,15076289,581
"Tyler, The Creator - Who Dat Boy",15056828,582
Cosculluela - Manicomio,15022112,583
Capital Bra - Nur noch Gucci,14998907,584
Fake Pictures - Two Princes - Radio Mix,14955335,585
Future - Draco,14917595,586
Linkin Park - Numb,14889854,587
Chance The Rapper - Juke Jam (feat. Justin Bieber & Towkio),14825464,588
Maluma - Cuatro Babys,14782742,589
Gue Pequeno - Lamborghini,14773946,590
Macklemore - Marmalade (feat. Lil Yachty),14732689,591
Martin Garrix - So Far Away,14638434,592
Drake - Can't Have Everything,14620622,593
Damso - N. J Respect R,14619115,594
Xantos - Bailame Despacio,14596225,595
Future - Mask Off - Remix,14575992,596
Future - Patek Water,14558057,597
Siboy - Mobali,14543092,598
Daddy Yankee - Vuelve,14525567,599
Ariana Grande - Into You,14490372,600
Florida Georgia Line - H.O.L.Y.,14489420,601
Niall Horan - This Town,14465063,602
Katy Perry - Bon Appétit,14439005,603
A Boogie Wit da Hoodie - Timeless (DJ SPINKING),14431255,604
Bing Crosby - White Christmas,14412525,605
KC Rebell - iPhone 17 (feat. Moé),14388306,606
Alan Walker - The Spectre,14372787,607
Juris - Your Love - Dolce Amore Teleserye Theme,14344898,608
XXXTENTACION - Carry On,14342238,609
Cezinando - Håper du har plass,14292246,610
